artist_name,artist_id
Tom Ferry,357
End of the World,358
Closed Doors,359
Ashley O,360
Pedro Capó,361
Charming Horses,362
Le P,363
Alex Mattson,364
Out Of Sound,365
ILIRA,366
KAROL G,367
Aitana,368
David Bisbal,369
Omar Montes,370
Morat,371
Daddy Yankee,372
Halsey,373
Lérica,374
Reik,375
Bad Gyal,376
Jonas Brothers,377
Anuel AA,378
Miki Núñez,379
Selena Gomez,380
Jhay Cortez,381
Eminem,382
Tainy,383
Major Lazer,384
Mariah Carey,385
Manuel Carrasco,386
Gregory Porter,387
The Weeknd,388
Juice WRLD,389
Antonio José,390
Lola Indigo,391
Post Malone,392
Lalo Ebratt,393
Niall Horan,394
Yera,395
Damien,396
Juanes,397
Taylor Swift,398
Sebastian Yatra,399
Alba Reche,400
Guaynaa,401
Pablo López,402
Lunay,403
Natalia Lacunza,404
Don Patricio,405
Lou Bega,406
Darude,407
Vengaboys,408
Mr. President,409
Eiffel 65,410
Aqua,411
Haddaway,412
Scatman John,413
Paradisio,414
La Bouche,415
Gigi D'Agostino,416
Britney Spears,417
SNAP!,418
Real McCoy,419
Chumbawamba,420
Ace of Base,421
Corona,422
Los Del Rio,423
Cher,424
Alice DJ,425
Prince Ital Joe,426
T-Spoon,427
The Mamas,428
Amber,429
Grace Gracie,430
C & C Music Factory,431
Robert Miles,432
Technotronic,433
Jennifer Lopez,434
2 Brothers On The 4th Floor,435
Des'ree,436
Spice Girls,437
Nelly,438
Captain Hollywood Project,439
Masterboy,440
Deee-Lite,441
Kylie Minogue,442
Culture Beat,443
Maxx,444
DJ Bobo,445
Salt-N-Pepa,446
Will Smith,447
Rednex,448
Vanilla Ice,449
Casey Derhak,450
Dune,451
Alice Deejay,452
Ice Mc,453
E-Rotic,454
*NSYNC,455
Sash!,456
Whigfield,457
Scooter,458
Me & My,459
Zombie Nation,460
The Bucketheads,461
Inner Circle,462
Cappella,463
Captain Jack,464
O-Zone,465
DJ Sammy,466
A Touch Of Class,467
Pet Shop Boys,468
Dr. Alban,469
Faithless,470
Madonna,471
DJ Jean,472
Grace,473
Double You,474
Hillsong UNITED,475
Hillsong Young & Free,476
Youngheart,477
Neon Feather,478
Verses,479
Tauren Wells,480
Local Sound,481
Dan Bremnes,482
Logan Pollard,483
TobyMac,484
Mass Anthem,485
Passion,486
Highlands Worship,487
Elizabeth Grace,488
Matthew Parker,489
Rachael Nemiroff,490
York Worship,491
Marci Coleman,492
Bryan Boliver,493
Marshall Marshall,494
Alive City,495
Bright Ones,496
Heather Schnoor,497
Apollo LTD,498
Manafest,499
Influence Music,500
The Young Escape,501
Cade Thompson,502
Influencers Worship,503
Hyper Fenton,504
Austin & Lindsey Adamec,505
Stars Go Dim,506
Citipointe Live,507
Platon Emil,508
Galactus Jack,509
Elevation Youth,510
Long Hollow Wave,511
ELEVATION RHYTHM,512
Planetshakers,513
Chris Howland,514
Canyon Hills Worship,515
Hollyn,516
Meredith Andrews,517
Newday,518
SEU Worship,519
GAWVI,520
Happi,521
Amplify Worship,522
For All Seasons,523
Holly Starr,524
Jabin Chavez,525
Northwood Worship,526
Brandon Seibert,527
WYLD,528
Heart Youth,529
The Vicious Vic,530
Urban Rescue,531
Nadia Grace,532
Tones and I,533
Covenants,534
Argui,535
ReauBeau,536
Gregor Potter,537
DJ MEG,538
FUNKYBEAT,539
Rubayne,540
Tim Hox,541
IIWII,542
Martin Mix,543
Bancali,544
Armand Van Helden,545
Venomenal,546
Noah Neiman,547
Tim van Werd,548
Ortzy,549
Brieuc,550
TheLavish,551
Rich Edwards,552
eSQUIRE,553
Matt Strike,554
Olmos,555
WHYLO,556
Funk Machine,557
REK,558
Steve Hartz,559
Julian Calor,560
Snareskin,561
The Partysquad,562
VIVID,563
Aerreo,564
Junior J,565
Karim Mika,566
Tom & Jame,567
Anthony Dircson,568
ORACLES,569
Costa Leon,570
Team Deep,571
Avoure,572
Eddie Thoneick,573
Sultan + Shepard,574
Pierce Fulton,575
Quentyn,576
Kydus,577
Lane 8,578
Afrojack,579
Curbi,580
Otherwise Fine,581
Calippo,582
Wolves By Night,583
Felix Cartal,584
Duskus,585
Junior Sanchez,586
EAUXMAR,587
Adam K,588
Watermät,589
The Him,590
Redondo,591
Linier,592
Kidnap,593
RKCB,594
Horisone,595
Who,596
Bolier,597
Tobtok,598
Mercer,599
Dannic,600
Dombresky,601
Hanne Mjøen,602
Radiology,603
RIRI,604
RAMMELLS,605
Thelma Aoyama,606
LOZAREENA,607
Lucky Kilimanjaro,608
BananaLemon,609
I Don't Like Mondays.,610
KEN THE 390,611
AYA A.K.A PANDA,612
YOSA & TAAR,613
NONA REEVES,614
Akane,615
Shin Sakiura,616
MaisonDe,617
Taichi Mukai,618
BoA,619
CIRRRCLE,620
IZ*ONE,621
ITZY,622
EXILE SHOKICHI,623
Reiji Kawaguchi,624
TaeyoungBoy,625
Rude-α,626
DJ RYOW,627
AmPm,628
Unwork,629
RIKE,630
ramhead,631
Shuta Sueyoshi,632
YonYon,633
Dream Shizuka,634
竹内アンナ,635
ANIMAL HACK,636
Mitski,637
Robyn,638
Future Islands,639
FKA twigs,640
Lana Del Rey,641
Perfume Genius,642
Frank Ocean,643
Grimes,644
Tame Impala,645
Young Thug,646
Soccer Mommy,647
Vampire Weekend,648
Vince Staples,649
Lorde,650
Bon Iver,651
Angel Olsen,652
KAYTRANADA,653
Jai Paul,654
M83,655
Parquet Courts,656
Thundercat,657
Kurt Vile,658
Sufjan Stevens,659
Pinegrove,660
Run The Jewels,661
Arcade Fire,662
Clairo,663
Courtney Barnett,664
James Blake,665
Beach House,666
The War On Drugs,667
The xx,668
Noname,669
Youth Lagoon,670
Mac DeMarco,671
Solange,672
Fleet Foxes,673
Alabama Shakes,674
SBTRKT,675
The National,676
Snail Mail,677
The Internet,678
Unknown Mortal Orchestra,679
Maggie Rogers,680
Lucy Dacus,681
"Tyler, The Creator",682
Caribou,683
Wet,684
Yaeji,685
Purple Mountains,686
Lykke Li,687
Tierra Whack,688
Father John Misty,689
Rex Orange County,690
Sampha,691
Phoebe Bridgers,692
John Maus,693
Blood Orange,694
Sharon Van Etten,695
Jon Hopkins,696
Destroyer,697
Car Seat Headrest,698
Danny Brown,699
The 1975,700
Earl Sweatshirt,701
Ariel Pink,702
Japanese Breakfast,703
Flying Lotus,704
Deerhunter,705
Cloud Nothings,706
The Blaze,707
Majical Cloudz,708
Still Woozy,709
Local Natives,710
Whitney,711
Sylvan Esso,712
Jamie xx,713
Bill Callahan,714
St. Vincent,715
Orion Sun,716
Death Grips,717
HAIM,718
Sleigh Bells,719
Big Thief,720
CHVRCHES,721
Alvvays,722
Nicolas Jaar,723
Cuco,724
U.S. Girls,725
PJ Harvey,726
Choker,727
Purity Ring,728
Jungle,729
Deborah Dworshipper,730
Keo Nozari,731
Lou Ella,732
Tom Goss,733
Saint Mars,734
Adil C,735
Nick Hames,736
Bailey Crego,737
Harry Styles,738
Chip Conyard,739
Blair Woods,740
Melissa Crispo,741
Maxwell Luke,742
Amber Ryann,743
Kat Holland,744
Lauren Presley,745
CTZNJ,746
Ksenia,747
Kevlah,748
Maml,749
Downlowd,750
Asher Knight,751
Two Neighbors,752
Royse,753
Seven Lights,754
Scriss,755
KINGDØMS,756
Plastician,757
Guy Tang,758
Eivind Husebø,759
Natixx,760
Modhayan,761
